,Sex,Age,Debt,Years employed,Prior default,Employed,Credit score,Drivers Licence,Income,Approved,Married__l,Married__u,Married__y,Bank Costumer__g,Bank Costumer__gg,Bank Costumer__p,Citizen__g,Citizen__p,Citizen__s
0,1,30.83,0.0,1.25,1,1,1.0,0,0.0,1,0,1,0,1,0,0,1,0,0
1,0,58.67,4.46,3.04,1,1,6.0,0,560.0,1,0,1,0,1,0,0,1,0,0
2,0,24.5,0.5,1.5,1,0,0.0,0,824.0,1,0,1,0,1,0,0,1,0,0
3,1,27.83,1.54,3.75,1,1,5.0,1,3.0,1,0,1,0,1,0,0,1,0,0
4,1,20.17,5.625,1.71,1,0,0.0,0,0.0,1,0,1,0,1,0,0,0,0,1
5,1,32.08,4.0,2.5,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
6,1,33.17,1.04,6.5,1,0,0.0,1,31285.0,1,0,1,0,1,0,0,1,0,0
7,0,22.92,11.585,0.04,1,0,0.0,0,1349.0,1,0,1,0,1,0,0,1,0,0
8,1,54.42,0.5,3.96,1,0,0.0,0,314.0,1,0,0,1,0,0,1,1,0,0
9,1,42.5,4.915,3.165,1,0,0.0,1,1442.0,1,0,0,1,0,0,1,1,0,0
10,1,22.08,0.83,2.165,0,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
11,1,29.92,1.835,4.335,1,0,0.0,0,200.0,1,0,1,0,1,0,0,1,0,0
12,0,38.25,6.0,1.0,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
13,1,48.08,6.04,0.04,0,0,0.0,0,2690.0,1,0,1,0,1,0,0,1,0,0
14,0,45.83,10.5,5.0,1,1,7.0,1,0.0,1,0,1,0,1,0,0,1,0,0
15,1,36.67,4.415,0.25,1,1,10.0,1,0.0,1,0,0,1,0,0,1,1,0,0
16,1,28.25,0.875,0.96,1,1,3.0,1,0.0,1,0,1,0,1,0,0,1,0,0
17,0,23.25,5.875,3.17,1,1,10.0,0,245.0,1,0,1,0,1,0,0,1,0,0
18,1,21.83,0.25,0.665,1,0,0.0,1,0.0,1,0,1,0,1,0,0,1,0,0
19,0,19.17,8.585,0.75,1,1,7.0,0,0.0,1,0,1,0,1,0,0,1,0,0
20,1,25.0,11.25,2.5,1,1,17.0,0,1208.0,1,0,1,0,1,0,0,1,0,0
21,1,23.25,1.0,0.835,1,0,0.0,0,0.0,1,0,1,0,1,0,0,0,0,1
22,0,47.75,8.0,7.875,1,1,6.0,1,1260.0,1,0,1,0,1,0,0,1,0,0
23,0,27.42,14.5,3.085,1,1,1.0,0,11.0,1,0,1,0,1,0,0,1,0,0
24,0,41.17,6.5,0.5,1,1,3.0,1,0.0,1,0,1,0,1,0,0,1,0,0
25,0,15.83,0.585,1.5,1,1,2.0,0,0.0,1,0,1,0,1,0,0,1,0,0
26,0,47.0,13.0,5.165,1,1,9.0,1,0.0,1,0,1,0,1,0,0,1,0,0
27,1,56.58,18.5,15.0,1,1,17.0,1,0.0,1,0,1,0,1,0,0,1,0,0
28,1,57.42,8.5,7.0,1,1,3.0,0,0.0,1,0,1,0,1,0,0,1,0,0
29,1,42.08,1.04,5.0,1,1,6.0,1,10000.0,1,0,1,0,1,0,0,1,0,0
30,1,29.25,14.79,5.04,1,1,5.0,1,0.0,1,0,1,0,1,0,0,1,0,0
31,1,42.0,9.79,7.96,1,1,8.0,0,0.0,1,0,1,0,1,0,0,1,0,0
32,1,49.5,7.585,7.585,1,1,15.0,1,5000.0,1,0,1,0,1,0,0,1,0,0
33,0,36.75,5.125,5.0,1,0,0.0,1,4000.0,1,0,1,0,1,0,0,1,0,0
34,0,22.58,10.75,0.415,1,1,5.0,1,560.0,1,0,1,0,1,0,0,1,0,0
35,1,27.83,1.5,2.0,1,1,11.0,1,35.0,1,0,1,0,1,0,0,1,0,0
36,1,27.25,1.585,1.835,1,1,12.0,1,713.0,1,0,1,0,1,0,0,1,0,0
37,0,23.0,11.75,0.5,1,1,2.0,1,551.0,1,0,1,0,1,0,0,1,0,0
38,1,27.75,0.585,0.25,1,1,2.0,0,500.0,1,0,0,1,0,0,1,1,0,0
39,1,54.58,9.415,14.415,1,1,11.0,1,300.0,1,0,1,0,1,0,0,1,0,0
40,1,34.17,9.17,4.5,1,1,12.0,1,221.0,1,0,1,0,1,0,0,1,0,0
41,1,28.92,15.0,5.335,1,1,11.0,0,2283.0,1,0,1,0,1,0,0,1,0,0
42,1,29.67,1.415,0.75,1,1,1.0,0,100.0,1,0,1,0,1,0,0,1,0,0
43,1,39.58,13.915,8.625,1,1,6.0,1,0.0,1,0,1,0,1,0,0,1,0,0
44,1,56.42,28.0,28.5,1,1,40.0,0,15.0,1,0,0,1,0,0,1,1,0,0
45,1,54.33,6.75,2.625,1,1,11.0,1,284.0,1,0,1,0,1,0,0,1,0,0
46,0,41.0,2.04,0.125,1,1,23.0,1,1236.0,1,0,0,1,0,0,1,1,0,0
